timestamp,client_id,uav_id,session_id,latitude,longitude,altitude,ground_speed,vertical_speed,heading,rssi,snr,packet_interval,num_satellites,battery_voltage,cmd_rate,label,attack_name
2026-03-15T08:00:00,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.505547,-0.121996,0.0,0.498024,1.710007,34.140011,-49.979644,18.965653,104.359754,10.0,12.588295,4.9008,0,normal
2026-03-15T08:00:01,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.505638,-0.121933,0.855003,0.0,1.710007,25.737686,-50.978617,23.501158,74.677539,11.0,12.572232,5.37651,0,normal
2026-03-15T08:00:02,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.505677,-0.121936,1.710007,0.0,1.710007,8.02449,-58.898744,21.167611,106.820695,10.0,12.599951,4.139516,0,normal
2026-03-15T08:00:03,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.505751,-0.121911,2.56501,1.708446,1.710007,10.720579,-52.510803,19.739861,101.261779,11.0,12.589772,4.189024,0,normal
2026-03-15T08:00:04,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.505861,-0.121893,3.420014,1.115699,1.710007,8.329882,-52.56581,21.099974,97.775251,9.0,12.565412,6.582555,0,normal
2026-03-15T08:00:05,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.50592,-0.121879,4.275017,1.470882,1.710007,25.222619,-58.44479,24.514298,120.468622,11.0,12.567338,4.742448,0,normal
2026-03-15T08:00:06,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.50597,-0.121842,5.130021,2.579655,1.710007,17.523318,-52.543667,20.92933,93.25066,10.0,12.6,5.66225,0,normal
2026-03-15T08:00:07,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.506065,-0.121843,5.985024,2.512933,1.710007,18.742691,-50.386204,22.716907,95.96924,9.0,12.579927,4.069694,0,normal
2026-03-15T08:00:08,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.506121,-0.121804,6.840028,2.782022,1.710007,21.289143,-58.367634,20.538087,119.915533,9.0,12.578345,4.94306,0,normal
2026-03-15T08:00:09,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.506196,-0.121795,7.695031,3.955839,1.710007,7.862804,-57.752508,23.515844,91.679387,11.0,12.575463,4.663662,0,normal
2026-03-15T08:00:10,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.506286,-0.121784,8.550034,2.870838,1.710007,1.536652,-51.947016,23.371015,94.498847,10.0,12.598282,4.324627,0,normal
2026-03-15T08:00:11,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.506319,-0.121784,9.405038,3.975777,1.710007,8.742996,-54.185514,25.697218,98.529746,9.0,12.546524,6.1553,0,normal
2026-03-15T08:00:12,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.506399,-0.121765,10.260041,3.859623,1.710007,16.237531,-53.345571,21.648872,108.407345,12.0,12.556539,3.611123,0,normal
2026-03-15T08:00:13,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.506498,-0.121726,11.115045,4.284673,1.710007,13.530171,-53.978232,23.33731,102.078025,11.0,12.558127,5.300057,0,normal
2026-03-15T08:00:14,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.506565,-0.121721,11.970048,5.23387,1.710007,354.915828,-53.827912,22.196135,87.073747,12.0,12.524121,4.644878,0,normal
2026-03-15T08:00:15,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.506668,-0.121741,12.825052,5.042814,1.710007,2.945481,-58.979416,24.591744,94.678314,10.0,12.537261,5.414824,0,normal
2026-03-15T08:00:16,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.506721,-0.12171,13.680055,5.377304,1.710007,19.373962,-51.858047,20.562335,93.926456,10.0,12.573556,4.658423,0,normal
2026-03-15T08:00:17,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.506787,-0.121689,14.535059,5.963669,1.710007,355.628615,-51.49123,23.490011,99.22779,12.0,12.564866,5.867193,0,normal
2026-03-15T08:00:18,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.506921,-0.121731,15.390062,5.564199,1.710007,0.6387,-55.688172,21.610605,104.258437,10.0,12.565442,4.060297,0,normal
2026-03-15T08:00:19,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.506965,-0.121681,16.245065,5.64633,1.710007,14.309761,-55.130431,21.871624,104.182058,11.0,12.531958,6.157553,0,normal
2026-03-15T08:00:20,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.507047,-0.1217,17.100069,5.86279,1.710007,8.310785,-59.593323,22.183505,82.239882,9.0,12.531464,4.971197,0,normal
2026-03-15T08:00:21,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.507095,-0.121671,17.955072,5.721276,1.710007,0.165431,-53.457236,22.504481,110.63941,10.0,12.502056,3.671497,0,normal
2026-03-15T08:00:22,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.507189,-0.121695,18.810076,8.051818,1.710007,341.997964,-53.283828,21.767542,102.525688,9.0,12.553495,5.680215,0,normal
2026-03-15T08:00:23,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.507279,-0.121714,19.665079,6.79137,1.710007,353.722516,-55.186573,22.429426,113.84532,9.0,12.553828,4.80115,0,normal
2026-03-15T08:00:24,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.507331,-0.121709,20.520083,7.551607,1.710007,15.674593,-51.62694,25.156236,104.441983,8.0,12.550612,3.292162,0,normal
2026-03-15T08:00:25,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.507439,-0.121675,21.375086,7.843087,1.710007,16.525507,-56.002232,23.970899,111.01323,8.0,12.558055,5.332468,0,normal
2026-03-15T08:00:26,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.507496,-0.121672,22.23009,8.454456,1.710007,348.750328,-53.306182,23.738309,104.665453,12.0,12.531454,6.006596,0,normal
2026-03-15T08:00:27,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.50758,-0.121697,23.085093,9.027881,1.710007,2.073451,-58.058993,21.088921,113.462258,9.0,12.551188,6.282136,0,normal
2026-03-15T08:00:28,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.507651,-0.121669,23.940096,9.369509,1.710007,352.765526,-55.070656,20.221518,105.222506,11.0,12.51308,4.621648,0,normal
2026-03-15T08:00:29,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.507777,-0.121719,24.7951,8.966993,1.710007,352.007689,-55.523063,23.910601,99.020848,11.0,12.478788,5.145318,0,normal
2026-03-15T08:00:30,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.507816,-0.121692,25.650103,9.494231,1.710007,4.402475,-54.324076,23.752094,122.724347,10.0,12.528382,5.050536,0,normal
2026-03-15T08:00:31,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.507872,-0.121721,26.505107,10.038342,1.710007,348.931711,-56.108581,24.945341,108.890371,9.0,12.472129,6.489803,0,normal
2026-03-15T08:00:32,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.507987,-0.121716,27.36011,10.091966,1.710007,4.621173,-55.394418,20.792039,105.737444,11.0,12.508649,4.189511,0,normal
2026-03-15T08:00:33,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.508023,-0.12171,28.215114,11.339244,1.710007,352.681542,-52.521858,21.540903,87.236956,11.0,12.521391,4.535341,0,normal
2026-03-15T08:00:34,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.508128,-0.121736,29.070117,11.100318,1.710007,351.1842,-56.310293,18.721032,87.116924,11.0,12.505808,4.16528,0,normal
2026-03-15T08:00:35,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.508161,-0.121737,29.92512,11.541529,1.710007,8.204814,-59.819731,21.215058,102.927155,11.0,12.541927,3.550849,0,normal
2026-03-15T08:00:36,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.50825,-0.121719,30.780124,11.824791,1.710007,353.073622,-49.751248,23.993141,101.455212,12.0,12.454082,5.247787,0,normal
2026-03-15T08:00:37,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.508357,-0.121762,31.635127,12.399347,1.710007,351.162642,-50.855638,21.067009,93.858774,10.0,12.488783,6.601298,0,normal
2026-03-15T08:00:38,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.508444,-0.121747,32.490131,12.22238,1.710007,346.82713,-58.876788,23.28096,101.409827,10.0,12.487828,4.801516,0,normal
2026-03-15T08:00:39,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.508508,-0.121799,33.345134,11.802713,1.710007,345.161647,-52.930877,21.618994,115.886269,11.0,12.457636,4.118103,0,normal
2026-03-15T08:00:40,GCS_A,GCS_A_UAV_00,GCS_A_UAV_00_S00,51.508578,-0.121781,34.200138,12.970233,1.710007,9.938947,-56.508924,22.648114,106.954025,8.0,12.458482,5.18686,0,normal
